face_detected,head_tilt_angle,shoulder_position,posture_label
1,5.23,0.47,Distracted
1,21.92,0.55,Distracted
0,30.46,0.39,Idle
1,6.57,0.8,Working
1,3.78,0.99,Working
1,23.57,0.53,Distracted
1,3.18,0.94,Working
0,38.34,0.18,Idle
1,6.33,0.67,Distracted
1,11.23,0.43,Distracted
1,1.59,0.91,Working
1,1.83,0.66,Distracted
1,2.83,0.73,Working
0,33.83,0.34,Idle
1,25.76,0.8,Distracted
1,25.34,0.4,Distracted
0,32.97,0.24,Idle
1,6.25,0.6,Distracted
1,13.23,0.47,Distracted
1,5.8,0.69,Distracted
1,9.58,0.99,Working
1,27.09,0.62,Distracted
0,31.43,0.25,Idle
1,26.78,0.7,Distracted
0,38.98,0.23,Idle
1,18.3,0.74,Distracted
1,26.98,0.78,Distracted
1,10.37,0.51,Distracted
1,21.11,0.62,Distracted
1,7.84,0.89,Working
0,20.59,0.38,Idle
1,27.03,0.59,Distracted
1,29.52,0.82,Distracted
1,27.86,0.54,Distracted
1,28.27,0.71,Working
1,14.55,0.48,Distracted
1,20.19,0.78,Distracted
0,29.67,0.4,Idle
0,34.96,0.13,Idle
1,3.61,0.44,Distracted
0,21.41,0.12,Idle
1,0.08,0.54,Distracted
1,28.26,0.46,Distracted
1,11.33,0.63,Distracted
1,21.76,0.61,Distracted
1,25.22,0.49,Distracted
0,35.68,0.21,Idle
1,28.84,0.54,Distracted
1,13.5,0.75,Distracted
1,23.97,0.46,Distracted
1,1.83,0.84,Working
1,26.73,0.92,Distracted
1,4.28,0.67,Distracted
1,6.57,0.5,Distracted
1,23.26,0.71,Distracted
1,9.97,0.78,Working
1,5.52,0.86,Working
1,15.17,0.66,Distracted
1,20.61,0.59,Distracted
0,37.98,0.12,Idle
1,27.36,0.96,Distracted
1,26.47,0.89,Distracted
0,30.93,0.34,Idle
0,36.32,0.34,Idle
1,12.93,0.68,Working
1,28.3,0.95,Distracted
1,21.72,0.47,Distracted
1,10.45,0.95,Distracted
1,1.25,0.52,Distracted
0,39.52,0.34,Idle
0,26.51,0.34,Idle
1,18.06,0.91,Distracted
1,12.56,0.41,Distracted
1,11.6,0.43,Distracted
1,14.84,0.51,Distracted
1,18.95,0.9,Distracted
1,20.95,0.99,Distracted
1,8.16,0.78,Working
1,13.0,0.76,Distracted
1,4.86,0.45,Distracted
1,17.31,0.95,Distracted
1,16.08,0.91,Distracted
1,17.55,0.69,Distracted
0,32.03,0.2,Idle
1,14.35,0.81,Distracted
1,27.1,0.42,Distracted
1,27.25,0.91,Distracted
1,3.32,0.68,Distracted
1,3.17,0.95,Working
0,38.08,0.32,Idle
1,27.56,0.49,Distracted
1,2.26,0.98,Working
1,29.73,0.52,Distracted
1,28.82,0.78,Distracted
0,28.86,0.36,Idle
1,26.03,0.79,Distracted
1,23.64,0.58,Distracted
1,13.71,0.93,Distracted
1,22.38,0.87,Distracted
1,24.7,0.6,Distracted
1,23.84,0.8,Distracted
1,7.94,0.81,Working
0,30.97,0.39,Idle
0,21.64,0.11,Idle
1,16.37,0.53,Distracted
1,17.44,0.89,Distracted
0,29.39,0.32,Idle
1,8.94,0.61,Distracted
1,23.81,0.8,Distracted
1,25.95,0.51,Distracted
1,4.64,0.56,Distracted
1,27.5,0.47,Distracted
1,10.16,0.98,Distracted
1,5.99,0.94,Working
1,1.44,0.55,Distracted
0,26.23,0.14,Idle
1,18.97,0.78,Distracted
1,23.0,0.73,Distracted
1,7.96,0.43,Distracted
1,8.93,0.9,Working
1,2.62,0.95,Working
0,30.25,0.19,Idle
1,26.24,0.57,Distracted
1,19.92,0.94,Distracted
1,0.4,0.75,Working
1,24.59,0.9,Distracted
1,12.04,0.58,Distracted
1,15.25,0.56,Distracted
1,2.3,0.94,Working
1,12.23,0.93,Distracted
1,14.15,0.81,Distracted
0,33.05,0.22,Idle
1,21.14,0.61,Distracted
1,15.78,0.72,Distracted
0,36.12,0.2,Idle
1,18.44,0.8,Distracted
1,5.65,0.88,Working
1,18.95,0.97,Distracted
1,0.08,0.48,Distracted
0,39.2,0.29,Idle
1,28.76,0.59,Distracted
0,38.32,0.36,Idle
1,18.39,0.83,Distracted
1,29.29,0.71,Distracted
0,25.4,0.26,Idle
1,1.63,0.86,Working
0,26.23,0.36,Idle
1,7.57,0.74,Working
1,23.42,0.75,Distracted
1,4.09,0.95,Working
1,20.71,0.7,Distracted
1,5.43,0.91,Working
0,29.82,0.33,Idle
1,20.07,0.78,Distracted
1,20.63,0.74,Distracted
1,6.69,0.99,Working
1,25.18,0.93,Distracted
1,21.31,0.82,Distracted
1,23.01,0.88,Distracted
1,4.23,0.67,Distracted
1,11.42,0.61,Distracted
1,6.07,0.95,Working
1,21.53,0.43,Distracted
1,19.08,0.92,Distracted
1,9.53,0.89,Working
1,0.67,0.93,Working
1,26.07,1.0,Distracted
0,39.87,0.21,Idle
1,18.88,0.8,Distracted
1,17.51,0.43,Distracted
1,17.54,0.56,Distracted
1,16.93,0.69,Distracted
1,15.0,0.86,Distracted
1,9.99,0.44,Distracted
0,28.6,0.36,Idle
1,9.16,0.69,Distracted
1,21.24,0.89,Distracted
1,17.89,0.49,Distracted
1,7.27,0.92,Working
1,26.82,0.5,Distracted
1,7.81,0.42,Distracted
1,18.3,0.48,Distracted
1,14.94,0.47,Distracted
1,1.31,0.95,Working
1,20.43,0.74,Distracted
1,15.75,0.8,Distracted
0,20.96,0.25,Idle
1,20.78,0.71,Distracted
0,34.17,0.4,Idle
1,11.26,0.45,Working
1,28.93,0.94,Distracted
0,20.57,0.26,Idle
1,20.46,0.44,Distracted
1,2.21,0.79,Working
0,33.85,0.35,Idle
0,37.9,0.29,Idle
1,13.3,0.56,Distracted
1,14.72,0.45,Distracted
1,29.83,0.85,Distracted
0,25.38,0.2,Idle
1,20.31,0.61,Distracted
1,10.12,0.59,Distracted
1,23.24,0.43,Distracted
1,2.8,0.76,Working
1,4.95,0.53,Distracted
1,26.39,0.85,Distracted
1,23.58,0.83,Distracted
1,14.95,0.74,Distracted
1,29.48,0.94,Distracted
1,28.12,0.44,Distracted
0,33.91,0.37,Idle
1,11.66,0.87,Distracted
0,31.2,0.11,Idle
0,35.19,0.27,Idle
0,21.99,0.29,Idle
0,30.04,0.16,Idle
1,13.63,0.62,Distracted
0,39.34,0.1,Idle
1,4.41,0.78,Working
1,27.43,0.46,Distracted
0,37.66,0.12,Idle
1,25.85,1.0,Distracted
1,15.82,0.5,Distracted
0,23.79,0.11,Idle
1,27.92,0.9,Distracted
1,12.64,0.83,Distracted
1,26.74,0.77,Distracted
1,12.45,0.91,Distracted
1,23.0,0.79,Distracted
1,14.07,0.77,Distracted
0,27.74,0.2,Idle
1,1.75,0.68,Distracted
1,8.52,0.83,Working
1,29.85,0.61,Distracted
1,13.77,0.91,Distracted
1,26.57,0.47,Distracted
1,22.09,0.87,Distracted
1,13.53,0.64,Distracted
1,6.81,0.87,Working
1,19.43,0.7,Distracted
0,38.27,0.39,Idle
1,5.95,0.45,Distracted
1,6.58,0.61,Distracted
1,15.65,0.63,Distracted
0,25.56,0.39,Idle
1,9.43,0.94,Working
1,26.34,0.73,Distracted
0,33.48,0.35,Idle
1,27.71,0.75,Distracted
0,21.69,0.3,Idle
0,32.52,0.32,Idle
0,36.67,0.28,Idle
1,16.13,0.52,Distracted
0,22.83,0.3,Idle
1,20.93,0.98,Distracted
1,9.83,0.72,Working
1,25.65,0.55,Distracted
1,19.37,0.56,Distracted
1,17.35,0.97,Distracted
1,25.69,0.96,Distracted
1,22.68,0.42,Distracted
1,13.75,0.81,Distracted
1,18.97,0.53,Distracted
1,16.39,0.91,Distracted
0,28.65,0.4,Idle
1,25.04,0.53,Distracted
0,34.49,0.18,Idle
1,28.6,0.64,Distracted
1,17.69,0.59,Distracted
0,35.21,0.31,Idle
1,27.61,0.69,Distracted
0,28.15,0.32,Idle
1,22.03,0.98,Distracted
1,16.09,0.6,Distracted
1,18.74,0.64,Distracted
0,32.47,0.27,Idle
1,25.83,0.5,Distracted
1,26.69,0.59,Distracted
1,1.31,0.85,Working
0,36.85,0.27,Idle
1,7.48,0.77,Working
0,31.17,0.2,Idle
1,13.67,0.56,Distracted
1,17.28,0.55,Distracted
1,11.2,0.91,Distracted
1,24.42,0.91,Working
1,8.73,0.89,Working
1,1.52,0.51,Distracted
1,26.32,0.53,Distracted
0,32.33,0.23,Idle
0,30.0,0.18,Idle
1,18.86,1.0,Distracted
1,23.19,0.41,Distracted
1,2.34,0.9,Working
1,12.65,0.44,Distracted
1,15.22,0.61,Distracted
0,31.43,0.18,Idle
1,21.47,0.64,Working
1,9.76,0.6,Distracted
1,20.69,0.42,Distracted
1,22.28,0.94,Distracted
1,2.49,0.62,Distracted
0,30.57,0.17,Idle
1,7.04,0.57,Distracted
0,23.82,0.18,Idle
0,27.6,0.29,Idle
0,25.05,0.31,Idle
1,10.02,0.74,Distracted
1,0.21,0.57,Working
1,5.08,0.86,Working
1,27.99,0.82,Distracted
1,6.09,0.69,Distracted
1,22.27,0.52,Distracted
1,10.89,0.6,Distracted
1,20.92,0.44,Distracted
0,32.59,0.39,Idle
1,14.47,0.49,Distracted
1,17.12,0.8,Distracted
1,26.27,0.72,Distracted
1,23.39,0.95,Distracted
1,25.57,0.7,Distracted
1,0.85,0.83,Working
1,16.27,0.93,Distracted
1,20.86,0.95,Distracted
1,7.64,0.89,Working
1,12.16,0.53,Distracted
1,16.84,0.89,Distracted
1,11.92,0.74,Distracted
1,0.08,0.57,Distracted
1,27.13,0.89,Distracted
0,35.17,0.35,Idle
1,13.92,0.8,Distracted
1,22.99,0.57,Distracted
0,28.4,0.23,Idle
1,16.48,0.61,Distracted
0,24.04,0.16,Idle
0,28.18,0.11,Idle
1,5.93,0.69,Distracted
1,27.21,0.49,Distracted
1,9.58,0.58,Distracted
0,34.73,0.18,Idle
1,15.92,0.86,Distracted
0,28.03,0.24,Idle
1,25.55,0.76,Distracted
1,28.59,0.64,Distracted
1,12.33,0.71,Distracted
1,2.34,0.67,Distracted
1,23.19,0.94,Distracted
1,18.79,0.58,Distracted
0,36.47,0.34,Idle
1,19.43,0.67,Distracted
1,2.84,0.79,Working
1,10.42,0.44,Distracted
1,2.39,0.44,Distracted
1,12.01,0.89,Distracted
1,21.0,0.94,Distracted
1,11.47,0.62,Distracted
1,5.79,0.42,Distracted
1,7.37,0.76,Working
0,35.71,0.34,Idle
1,15.58,0.57,Distracted
1,13.53,0.51,Distracted
1,1.86,0.74,Working
1,7.48,0.43,Distracted
0,25.38,0.15,Idle
1,11.86,0.76,Distracted
1,1.04,0.75,Working
1,11.84,0.99,Distracted
1,28.82,0.62,Distracted
1,2.36,0.45,Distracted
0,26.4,0.4,Idle
1,20.74,0.76,Distracted
1,16.26,0.67,Distracted
1,18.58,0.78,Distracted
1,19.08,0.94,Distracted
1,16.63,0.81,Distracted
1,16.52,0.93,Distracted
1,3.23,0.78,Working
1,24.88,0.79,Distracted
1,2.96,0.41,Distracted
0,33.04,0.16,Idle
1,19.08,0.76,Distracted
1,8.88,0.42,Distracted
0,25.48,0.15,Idle
1,18.06,0.93,Distracted
1,27.58,0.58,Distracted
1,3.29,0.98,Working
1,8.4,0.68,Distracted
0,23.5,0.25,Idle
1,0.57,0.79,Working
0,24.24,0.27,Idle
0,33.4,0.33,Idle
1,24.82,0.53,Distracted
0,35.23,0.22,Idle
1,9.87,0.96,Working
1,28.52,0.72,Distracted
1,26.51,0.74,Distracted
1,27.33,0.84,Distracted
1,16.68,0.62,Distracted
1,22.83,0.51,Distracted
1,1.28,0.89,Working
1,24.62,0.52,Distracted
1,24.86,0.85,Distracted
0,27.19,0.23,Idle
1,3.43,0.96,Working
1,24.53,0.43,Distracted
1,26.66,0.91,Distracted
1,28.08,0.87,Distracted
1,16.41,0.52,Distracted
0,39.69,0.21,Idle
0,26.69,0.35,Idle
1,2.9,0.54,Distracted
1,28.58,0.9,Distracted
1,16.38,0.69,Distracted
1,27.94,0.74,Distracted
1,16.45,0.69,Distracted
1,28.13,0.64,Distracted
1,1.05,0.97,Working
1,27.31,0.73,Distracted
0,33.68,0.16,Idle
1,25.16,0.4,Distracted
1,4.66,0.83,Working
1,24.86,0.48,Distracted
0,36.61,0.33,Idle
1,14.85,0.52,Distracted
1,15.1,0.41,Distracted
0,28.47,0.34,Idle
1,22.03,0.78,Distracted
0,33.12,0.4,Idle
1,8.98,0.84,Working
0,35.51,0.29,Idle
1,25.87,0.75,Distracted
1,6.97,0.66,Distracted
1,19.51,0.79,Distracted
1,1.75,0.64,Distracted
1,21.87,0.76,Distracted
1,27.95,0.9,Distracted
1,19.03,0.65,Distracted
0,39.32,0.36,Idle
1,16.66,0.74,Distracted
1,27.26,0.9,Distracted
1,5.84,0.72,Working
1,16.87,0.5,Distracted
0,34.83,0.21,Idle
1,4.72,0.71,Working
1,22.02,0.71,Distracted
0,26.1,0.14,Idle
1,14.47,0.78,Distracted
1,17.05,0.6,Distracted
1,16.41,0.76,Distracted
1,18.82,0.65,Distracted
1,4.78,0.75,Working
1,14.17,0.85,Distracted
1,28.11,0.73,Distracted
1,26.69,0.8,Distracted
1,26.1,0.98,Distracted
1,19.25,0.69,Distracted
1,21.46,0.51,Distracted
1,4.34,0.83,Working
1,3.81,0.46,Distracted
1,1.97,0.95,Working
0,21.25,0.25,Idle
1,24.03,0.98,Working
1,25.44,0.83,Distracted
1,28.03,0.45,Distracted
1,3.05,0.66,Distracted
0,34.05,0.18,Idle
1,0.02,0.42,Distracted
1,23.92,0.7,Distracted
0,25.97,0.39,Idle
1,2.07,0.52,Distracted
0,39.31,0.18,Idle
0,36.18,0.34,Idle
1,27.63,0.58,Distracted
1,18.6,0.99,Distracted
1,11.66,0.71,Distracted
1,3.79,0.43,Distracted
1,13.23,0.7,Distracted
0,29.6,0.35,Idle
0,26.58,0.32,Idle
1,1.24,0.88,Working
1,25.68,0.78,Distracted
0,39.37,0.33,Idle
1,22.85,0.65,Working
0,26.99,0.37,Idle
1,5.22,0.68,Distracted
1,17.36,0.67,Distracted
1,6.62,0.84,Working
1,13.82,0.69,Distracted
0,31.97,0.33,Idle
1,22.14,0.76,Distracted
1,19.35,0.62,Distracted
1,7.58,0.53,Distracted
1,1.01,0.65,Distracted
1,27.46,0.94,Distracted
1,12.04,0.9,Distracted
1,24.73,0.89,Distracted
1,21.93,0.73,Distracted
1,5.31,0.51,Distracted
1,6.15,0.7,Distracted
0,21.18,0.18,Idle
1,7.62,0.65,Distracted
1,4.24,1.0,Working
1,18.94,0.71,Distracted
1,5.62,0.42,Distracted
0,33.58,0.39,Idle
1,7.84,0.66,Distracted
0,39.43,0.38,Idle
1,8.1,0.51,Distracted
1,5.1,0.82,Working
1,20.88,0.53,Distracted
1,7.6,0.77,Working
1,3.04,0.72,Working
1,22.8,0.87,Distracted
1,2.44,0.54,Distracted
1,19.58,0.55,Distracted
1,6.28,0.78,Working
0,31.94,0.2,Idle
1,13.83,0.42,Distracted
0,24.8,0.11,Idle
1,2.79,0.58,Distracted
1,23.09,0.61,Distracted
1,1.29,0.92,Working
1,29.27,0.85,Distracted
1,21.1,0.75,Distracted
0,20.81,0.17,Idle
0,31.23,0.17,Idle
1,26.74,0.63,Distracted
1,12.97,0.48,Distracted
1,26.34,0.61,Distracted
1,18.97,0.68,Distracted
1,1.94,0.54,Distracted
1,13.0,0.58,Distracted
1,18.08,0.93,Distracted
1,21.17,0.89,Distracted
1,2.26,0.91,Working
1,4.34,0.49,Distracted
1,6.3,0.69,Distracted
1,27.67,0.57,Distracted
0,35.85,0.11,Idle
1,22.43,0.92,Distracted
1,22.33,0.55,Distracted
1,6.61,0.67,Distracted
1,15.83,0.85,Distracted
1,27.24,0.47,Distracted
1,10.0,0.92,Distracted
1,21.13,0.76,Distracted
1,2.63,0.62,Distracted
1,18.83,0.58,Distracted
1,14.56,0.86,Distracted
1,23.76,0.66,Distracted
1,20.16,0.9,Distracted
